id,node,lat,lon,start_time,capacity
1,1958,40.8254654,-73.9363928,00:00:00,4
2,1542,40.7385557,-73.9804284,00:00:00,4
3,993,40.7616677,-73.9865661,00:00:00,4
4,660,40.727664,-74.003155,00:00:00,4
5,322,40.7422193,-73.9891036,00:00:00,4
6,3427,40.8442913,-73.9229259,00:00:00,4
7,1559,40.7597325,-73.974231,00:00:00,4
8,3075,40.763366,-73.9592399,00:00:00,4
9,1170,40.7539937,-73.9741902,00:00:00,4
10,1762,40.8523449,-73.9387583,00:00:00,4
11,200,40.7194618,-73.9819415,00:00:00,4
12,2392,40.781947,-73.94567,00:00:00,4
13,1274,40.7484303,-73.9824775,00:00:00,4
14,3743,40.8251042,-73.9513095,00:00:00,4
15,1630,40.7203066,-73.9891119,00:00:00,4
16,671,40.737361,-73.99684,00:00:00,4
17,3955,40.7616583,-73.9708621,00:00:00,4
18,2259,40.78168,-73.9489676,00:00:00,4
19,4908,40.7069126,-74.0135441,00:00:00,4
20,2530,40.7440046,-73.9856985,00:00:00,4
